State/UTs,Total Cases,Active,Discharged,Deaths,Active Ratio (%),Discharge Ratio (%),Death Ratio (%)
Andaman and Nicobar,7566,6,7431,129,0.08,98.22,1.7
Andhra Pradesh,2014116,14693,1985566,13857,0.73,98.58,0.69
Arunachal Pradesh,53031,863,51908,260,1.63,97.88,0.49
Assam,589426,6901,576865,5660,1.17,97.87,0.96
Bihar,725708,100,715955,9653,0.01,98.66,1.33
Chandigarh,65105,40,64252,813,0.06,98.69,1.25
Chhattisgarh,1004451,412,990484,13555,0.04,98.61,1.35
Dadra and Nagar Haveli and Daman and Diu,10663,4,10655,4,0.04,99.92,0.04
Delhi,1437764,349,1412333,25082,0.02,98.23,1.74
Goa,173955,877,169877,3201,0.5,97.66,1.84
Gujarat,825422,150,815191,10081,0.02,98.76,1.22
Haryana,770486,634,760175,9677,0.08,98.66,1.26
Himachal Pradesh,213548,1642,208308,3598,0.77,97.55,1.68
Jammu and Kashmir,325419,1330,319681,4408,0.41,98.24,1.35
Jharkhand,347867,130,342605,5132,0.04,98.49,1.48
Karnataka,2949445,18412,2893715,37318,0.62,98.11,1.27
Kerala,4057233,219441,3817004,20788,5.41,94.08,0.51
Ladakh,20560,69,20284,207,0.34,98.66,1.01
Lakshadweep,10347,31,10265,51,0.3,99.21,0.49
Madhya Pradesh,792175,79,781580,10516,0.01,98.66,1.33
Maharashtra,6464876,54763,6272800,137313,0.85,97.03,2.12
Manipur,113933,3397,108754,1782,2.98,95.45,1.56
Meghalaya,75836,2326,72199,1311,3.07,95.2,1.73
Mizoram,59119,8885,50017,217,15.03,84.6,0.37
Nagaland,30083,815,28648,620,2.71,95.23,2.06
Odisha,1007750,6546,993235,7969,0.65,98.56,0.79
Puducherry,123572,715,121045,1812,0.58,97.96,1.47
Punjab,600614,324,583859,16431,0.05,97.21,2.74
Rajasthan,954095,97,945044,8954,0.01,99.05,0.94
Sikkim,29878,1094,28414,370,3.66,95.1,1.24
Tamil Nadu,2614872,16850,2563101,34921,0.64,98.02,1.34
Telengana,658054,5864,648317,3873,0.89,98.52,0.59
Tripura,82961,917,81244,800,1.11,97.93,0.96
Uttar Pradesh,1709335,256,1686256,22823,0.01,98.65,1.34
Uttarakhand,342976,354,335235,7387,0.1,97.74,2.15
West Bengal,1548604,8815,1521342,18447,0.57,98.24,1.19
